No;Product Name;SKU;Price (IDR);Rating;Total Reviews;Description;Specifications;Product URL
95;HP ProBook 440 14 inch G11 Business Laptop Wolf Pro Security Edition, Silver + POLY BW 3220 USB-C HS USB-C/A;N/A;17975000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-probook-440-14-inch-g11-notebook-pc-wolf-pro-security-edition-a6rc8pt-1.html
96;HP EliteBook 635 Aero 13.3 inch G11 Notebook PC;N/A;18500000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-635-aero-13-3-inch-g11-notebook-pc-b1nx7pt.html
97;HP ProBook 445 14 inch G11 Business Laptop Wolf Pro Security Edition, Silver;N/A;18835000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-probook-445-14-inch-g11-notebook-pc-wolf-pro-security-edition-a6rb8pt.html
98;HP EliteBook 635 Aero 13.3 inch G11 Notebook PC + POLY BW 3220 USB-C HS USB-C/A;N/A;18875000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-635-aero-13-3-inch-g11-notebook-pc-b1nx7pt-1.html
99;HP ProBook 445 14 inch G11 Business Laptop Wolf Pro Security Edition, Silver + POLY BW 3220 USB-C HS USB-C/A;N/A;18875000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-probook-445-14-inch-g11-notebook-pc-wolf-pro-security-edition-a6rb8pt-1.html
100;HP EliteBook 630 13.3 inch G11 Business Laptop Wolf Pro Security Edition, Silver;N/A;19935000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-630-13-3-inch-g11-notebook-pc-wolf-pro-security-edition-a77mppt.html
101;HP EliteBook 630 13.3 inch G11 Business Laptop Wolf Pro Security Edition, Silver + POLY BW 3220 USB-C HS USB-C/A;N/A;19975000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-630-13-3-inch-g11-notebook-pc-wolf-pro-security-edition-a77mppt-1.html
102;HP EliteBook 840 14 inch G10 Business Laptop with Wolf Pro Security Edition, Silver;N/A;22225000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-840-14-inch-g10-notebook-pc-wolf-pro-security-edition-9j023pt.html
103;HP EliteBook 640 14 inch G10 Notebook PC Wolf Pro Security Edition, Silver;N/A;24035000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-640-14-inch-g10-notebook-pc-wolf-pro-security-edition-n-9j085pt.html
104;HP EliteBook Ultra 14 inch G1q Notebook AI PC, Blue + POLY BW 3220 USB-C HS USB-C/A;N/A;25375000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-ultra-14-inch-g1q-notebook-ai-pc-b04xsat-1.html
105;HP EliteBook 840 14 inch G11 Business Laptop Wolf Pro Security Edition, Silver;N/A;28225000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elitebook-840-14-inch-g11-notebook-pc-wolf-pro-security-edition-a71fypt.html
106;HP Elite x360 1040 14 inch G11 2-in-1 Laptop PC Wolf Pro Security Edition, Silver + POLY BW 3220 USB-C HS USB-C/A;N/A;50275000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-elite-x360-1040-14-inch-g11-2-in-1-notebook-pc-wolf-pro-security-edition-a6rh8pt-1.html
107;HP 240R 14 inch G9 Business Laptop, Silver;N/A;14699000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-240-14-inch-g9-1notebook-pc-a9va2at-2.html
108;HP 14 inch Laptop 14-em0167AU, Gold;N/A;9199000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14-em0167au-ad7q0pa.html
109;HP OmniBook X 14 inch Laptop 14-fe0777QU Next Gen AI PC, Silver;N/A;20999000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-omnibook-x-laptop-14-inch-14-fe0777qu-next-gen-ai-pc-silver.html
110;HP 15.6 inch Laptop 15-fd0032TX, Blue;N/A;9999000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-15-fd0032tx-9e3t5pa.html
111;HP Pavilion Plus 14 inch Laptop 14-ey0016AU, Silver;N/A;10999000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ey0016au-8r295pa.html
112;HP 15.6 inch Laptop 15-fd1777TU, Silver;N/A;12249000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-15-fd1777tu-9y3p1pa.html
113;HP 15.6 inch Laptop 15-fd0999TX, Silver;N/A;12849000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-15-fd0999tx-9y3n7pa.html
114;HP 15.6 inch Laptop 15-fd0888TX, Blue;N/A;12849000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-15-fd0888tx-9y3n6pa.html
115;HP Pavilion Plus Laptop 14-ey1888AU, Blue;N/A;15299000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-pavilion-plus-laptop-14-ey1888au-a03gtpa.html
116;HP Victus 16 inch Gaming Laptop 16-r1218TX, Silver;N/A;25399000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-16-r1218tx-a4tz7pa.html
117;HP Victus 16 inch Gaming Laptop 16-s1778AX, Blue;N/A;24849000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-16-s1778ax-a4ue7pa.html
118;HP Victus 16 inch Gaming Laptop 16-s1777AX, Silver;N/A;24849000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-16-s1777ax-a4ue6pa.html
119;HP 14 inch Laptop 14s-dq3133TU, Silver;N/A;4949000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14s-dq3133tu-b16zspa.html
120;HP 14 inch Laptop 14-ep0890TU, Silver;N/A;5949000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14-ep0890tu-b4hc9pa.html
121;HP Victus 15 inch Gaming Laptop 15-fa2717TX, Silver;N/A;14999000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fa2717tx-b7wa7pa.html
122;HP ZBook Firefly 14 inch G11 Mobile Workstation PC Wolf Pro Security Edition, Silver;N/A;36300000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-zbook-firefly-14-inch-g11-mobile-workstation-pc-wolf-pro-security-edition-a8fq7pt.html
123;HP ZBook Power 16 inch G11 A Mobile Workstation PC Wolf Pro Security Edition, Silver;N/A;46900000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-zbook-power-16-inch-g11-a-mobile-workstation-pc-wolf-pro-security-edition-a8fr0pt-1.html
124;HP 14 inch Laptop 14s-dq3134TU, Gold;N/A;4949000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14s-dq3134tu-b16ztpa.html
125;HP 14 inch Laptop 14s-dq3888TU, Silver;N/A;5249000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14s-dq3888tu-a05pwpa.html
126;HP 14 inch Laptop 14-ep0611TU, Silver;N/A;9649000;N/A;N/A;;;https://www.hp.com/id-id/shop/hp-laptop-14-ep0611tu-b90x3pa.html
127;HP Victus 15 Inch Gaming Laptop 15-fb3704AX, Silver;N/A;13299000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fb3704ax-be5m1pa.html
128;HP Victus 15 inch Gaming Laptop 15-fa2883TX, Silver;N/A;17499000;N/A;N/A;;;https://www.hp.com/id-id/shop/victus-gaming-laptop-15-fa2883tx-b7nl5pa.html
